date,value,target
2015-10-01,0.006964356660111641,0.05
2016-01-01,0.012330476770379479,0.05
2016-04-01,0.008854771055396393,0.05
2016-07-01,0.009667591482157175,0.05
2016-10-01,0.013519757557693848,0.05
2017-01-01,0.01185321956365563,0.05
2017-04-01,0.013128117135318033,0.05
2017-07-01,0.01053535291450217,0.05
2017-10-01,0.01833192478564076,0.05
2018-01-01,0.016739892884214312,0.05
2018-04-01,0.017962290589048437,0.05
2018-07-01,0.019239230171071053,0.05
2018-10-01,0.02118145874096506,0.05
2019-01-01,0.021932628883840313,0.05
2019-04-01,0.018897849877612574,0.05
2019-07-01,0.02395037176518159,0.05
2019-10-01,0.022868009806901072,0.05
2020-01-01,0.025175635469954747,0.05
2020-04-01,0.02231974973177205,0.05
2020-07-01,0.022418229865452985,0.05
2020-10-01,0.02324932613691113,0.05
2021-01-01,0.029643592233556858,0.05
2021-04-01,0.02590160025932723,0.05
2021-07-01,0.02824028352267044,0.05
2021-10-01,0.02350879702123212,0.05
2022-01-01,0.02431821269991303,0.05
2022-04-01,0.032694701310779395,0.05
2022-07-01,0.03204068073932173,0.05
2022-10-01,0.033710275824223375,0.05
2023-01-01,0.031179634777527755,0.05
2023-04-01,0.035558404390892306,0.05
2023-07-01,0.031990741481607764,0.05
2023-10-01,0.03587359751191389,0.05
2024-01-01,0.03545244868805148,0.05
2024-04-01,0.03545468070663023,0.05
2024-07-01,0.037459630465799074,0.05
2024-10-01,0.036916999450230324,0.05
2025-01-01,0.042328193210567244,0.05
2025-04-01,0.037574747479570264,0.05
2025-07-01,0.03990626916869556,0.05
