date,value,target
2015-10-01,0.01188238883465705,0.025
2016-01-01,0.012336430182554543,0.025
2016-04-01,0.00980442280303148,0.025
2016-07-01,0.011177838632144355,0.025
2016-10-01,0.012957523245367626,0.025
2017-01-01,0.01662014009886052,0.025
2017-04-01,0.014387883322248713,0.025
2017-07-01,0.019026384203332743,0.025
2017-10-01,0.017559346186351264,0.025
2018-01-01,0.01867789992811894,0.025
2018-04-01,0.020893418429307174,0.025
2018-07-01,0.02145868057758541,0.025
2018-10-01,0.021337757590690423,0.025
2019-01-01,0.021074098081603546,0.025
2019-04-01,0.01892089083820675,0.025
2019-07-01,0.021417558848670623,0.025
2019-10-01,0.0220259155078227,0.025
2020-01-01,0.020761794223440922,0.025
2020-04-01,0.02375217280904699,0.025
2020-07-01,0.02417735186973181,0.025
2020-10-01,0.024417862322926157,0.025
2021-01-01,0.0252953990244158,0.025
2021-04-01,0.024095184160893336,0.025
2021-07-01,0.03000318817003736,0.025
2021-10-01,0.03150871828927429,0.025
2022-01-01,0.026255962001063934,0.025
2022-04-01,0.030736857563910265,0.025
2022-07-01,0.030740001973724333,0.025
2022-10-01,0.031412197419049055,0.025
2023-01-01,0.032018376548542386,0.025
2023-04-01,0.032148076972038524,0.025
2023-07-01,0.03425128757210169,0.025
2023-10-01,0.034711609072913596,0.025
2024-01-01,0.03511271948052105,0.025
2024-04-01,0.03545160135402879,0.025
2024-07-01,0.03831636773467221,0.025
2024-10-01,0.03669803228156339,0.025
2025-01-01,0.03590965313396414,0.025
2025-04-01,0.039840523335328,0.025
2025-07-01,0.04084784173867368,0.025
