date,value,target
2015-10-01,0.013622727725454963,0.03
2016-01-01,0.011949911158630547,0.03
2016-04-01,0.009679253687666627,0.03
2016-07-01,0.010547146451492961,0.03
2016-10-01,0.017172627552184717,0.03
2017-01-01,0.01570759566137191,0.03
2017-04-01,0.015451504555878398,0.03
2017-07-01,0.014835100765101163,0.03
2017-10-01,0.01692320820056734,0.03
2018-01-01,0.01538323834821279,0.03
2018-04-01,0.020884212317168697,0.03
2018-07-01,0.01565981731276414,0.03
2018-10-01,0.01907092733947812,0.03
2019-01-01,0.01811711713420953,0.03
2019-04-01,0.021530949256476698,0.03
2019-07-01,0.018955306832225186,0.03
2019-10-01,0.021996347314999137,0.03
2020-01-01,0.021295542631985014,0.03
2020-04-01,0.023421815182985823,0.03
2020-07-01,0.024925672766313287,0.03
2020-10-01,0.024375574698264225,0.03
2021-01-01,0.028290716979755062,0.03
2021-04-01,0.02982266992088576,0.03
2021-07-01,0.03066851076148561,0.03
2021-10-01,0.02382407448126009,0.03
2022-01-01,0.02855041646664824,0.03
2022-04-01,0.029330476780908103,0.03
2022-07-01,0.031998919744929084,0.03
2022-10-01,0.030856792681681382,0.03
2023-01-01,0.028907029453349622,0.03
2023-04-01,0.033593878368948914,0.03
2023-07-01,0.03218751175616856,0.03
2023-10-01,0.03428777993877033,0.03
2024-01-01,0.03585214945455479,0.03
2024-04-01,0.03381692580163306,0.03
2024-07-01,0.036420590334495184,0.03
2024-10-01,0.035874264135212566,0.03
2025-01-01,0.04175788405591362,0.03
2025-04-01,0.04052716272023001,0.03
2025-07-01,0.03886882219721528,0.03
